STATION,DATE,STATE,COUNTY,ACMH,ACSH,AWND,DAPR,EVAP,FMTM,MDPR,PGTM,PRCP,SNOW,SNWD,TAVG,TMAX,TMIN,TOBS,TSUN,WDF1,WDF2,WDF5,WDFG,WDFM,WDMV,WESD,WSF1,WSF2,WSF5,WSFG,WSFM,WT01,WT02,WT03,WT04,WT05,WT07,WT08,WT09,WT13,WT14,WT16,WT18,WT21,WT22,WV03,WV20
USW00023232,5/1/1984,California,Sacramento,100,100,9.4,,,,,,0.01,0,0,,62,53,,508,,,,,225,,,,,,,16.1,,,,,,,,,,,1,,,,,
USW00023232,5/2/1984,California,Sacramento,40,30,9.62,,,,,,0,0,0,,75,56,,723,,,,,180,,,,,,,14.1,,,,,,,,,,,,,,,,
USW00023232,5/3/1984,California,Sacramento,70,70,11.63,,,,,,0,0,0,,79,55,,742,,,,,225,,,,,,,16.1,,,,,,,,,,,,,,,,
USW00023232,5/4/1984,California,Sacramento,30,30,10.07,,,,,,0,0,0,,76,50,,779,,,,,225,,,,,,,19.9,,,,,,,,,,,,,,,,
USW00023232,5/5/1984,California,Sacramento,10,20,9.17,,,,,,0,0,0,,76,47,,837,,,,,315,,,,,,,17,,,,,,,,,,,,,,,,
USW00023232,5/6/1984,California,Sacramento,0,0,10.29,,,,,,0,0,0,,79,47,,839,,,,,315,,,,,,,17.9,,,,,,,,,,,,,,,,
USW00023232,5/7/1984,California,Sacramento,0,0,6.04,,,,,,0,0,0,,87,47,,841,,,,,315,,,,,,,10.1,,,,,,,,,,,,,,,,
USW00023232,5/8/1984,California,Sacramento,10,10,5.82,,,,,,0,0,0,,93,53,,843,,,,,225,,,,,,,12.1,,,,,,,,,,,,,,,,
USW00023232,5/9/1984,California,Sacramento,20,30,8.5,,,,,,0,0,0,,85,54,,845,,,,,225,,,,,,,15,,,,,,,,,,,,,,,,
USW00023232,5/10/1984,California,Sacramento,40,40,9.17,,,,,,0,0,0,,84,52,,809,,,,,225,,,,,,,17,,,,,,,,,,,,,,,,
USW00023232,5/11/1984,California,Sacramento,30,30,8.5,,,,,,0,0,0,,89,56,,849,,,,,225,,,,,,,14.1,,,,,,,,,,,,,,,,
USW00023232,5/12/1984,California,Sacramento,10,10,7.38,,,,,,0,0,0,,92,58,,851,,,,,225,,,,,,,15,,,,,,,,,,,,,,,,
USW00023232,5/13/1984,California,Sacramento,20,20,10.07,,,,,,0,0,0,,92,58,,810,,,,,225,,,,,,,19,,,,,,,,,,,,,,,,
USW00023232,5/14/1984,California,Sacramento,60,50,11.18,,,,,,0,0,0,,72,54,,787,,,,,315,,,,,,,21.9,,,,,,,,,,,,,,,,
USW00023232,5/15/1984,California,Sacramento,20,10,7.83,,,,,,0,0,0,,74,49,,857,,,,,315,,,,,,,16.1,,,,,,,,,,,,,,,,
USW00023232,5/16/1984,California,Sacramento,60,80,7.61,,,,,,0,0,0,,78,46,,788,,,,,225,,,,,,,11,,,,,,,,,,,,,,,,
USW00023232,5/17/1984,California,Sacramento,30,20,7.83,,,,,,0,0,0,,75,54,,807,,,,,225,,,,,,,12.1,,,,,,,,,,,,,,,,
USW00023232,5/18/1984,California,Sacramento,30,50,6.26,,,,,,0,0,0,,87,50,,861,,,,,225,,,,,,,10.1,,,,,,,,,,,,,,,,
USW00023232,5/19/1984,California,Sacramento,10,10,6.71,,,,,,0,0,0,,92,50,,863,,,,,225,,,,,,,15,,,,,,,,,,,,,,,,
USW00023232,5/20/1984,California,Sacramento,30,60,8.95,,,,,,0,0,0,,88,55,,865,,,,,225,,,,,,,16.1,,,,,,,,,,,,,,,,
USW00023232,5/21/1984,California,Sacramento,40,70,6.93,,,,,,0,0,0,,89,52,,834,,,,,225,,,,,,,15,,,,,,,,,,,,,,,,
USW00023232,5/22/1984,California,Sacramento,0,0,6.71,,,,,,0,0,0,,95,52,,868,,,,,315,,,,,,,14.1,,,,,,,,,,,,,,,,
USW00023232,5/23/1984,California,Sacramento,50,70,9.4,,,,,,0,0,0,,90,58,,870,,,,,225,,,,,,,21,,,,,,,,,,,,,,,,
USW00023232,5/24/1984,California,Sacramento,70,100,8.5,,,,,,0,0,0,,83,52,,820,,,,,225,,,,,,,16.1,,,,,,,,,,,,,,,,
USW00023232,5/25/1984,California,Sacramento,0,0,10.29,,,,,,0,0,0,,93,53,,872,,,,,315,,,,,,,19.9,,,,,,,,,,,,,,,,
USW00023232,5/26/1984,California,Sacramento,0,0,9.62,,,,,,0,0,0,,93,59,,874,,,,,315,,,,,,,17,,,,,,,,,,,,,,,,
USW00023232,5/27/1984,California,Sacramento,0,0,7.16,,,,,,0,0,0,,100,61,,875,,,,,315,,,,,,,16.1,,,,,,,,,,,,,,,,
USW00023232,5/28/1984,California,Sacramento,0,0,6.93,,,,,,0,0,0,,105,61,,876,,,,,225,,,,,,,13,,,,,,,,,,,,,,,,
USW00023232,5/29/1984,California,Sacramento,10,10,9.62,,,,,,0,0,0,,97,64,,877,,,,,225,,,,,,,17,,,,,,,,,,,,,,,,
USW00023232,5/30/1984,California,Sacramento,20,30,8.05,,,,,,0,0,0,,97,60,,824,,,,,225,,,,,,,13,,,,,,,,,,,,,,,,
USW00023232,5/31/1984,California,Sacramento,0,0,10.29,,,,,,0,0,0,,88,56,,880,,,,,315,,,,,,,17,,,,,,,,,,,,,,,,
USW00023232,6/1/1984,California,Sacramento,0,0,10.74,,,,,,0,0,0,,93,58,,881,,,,,315,,,,,,,16.1,,,,,,,,,,,,,,,,
USW00023232,6/2/1984,California,Sacramento,0,0,9.17,,,,,,0,0,0,,85,55,,882,,,,,180,,,,,,,14.1,,,,,,,1,,,,,,,,,
USW00023232,6/3/1984,California,Sacramento,60,60,7.16,,,,,,0,0,0,,88,52,,800,,,,,225,,,,,,,17,,,,,,,1,,,,,,,,,
USW00023232,6/4/1984,California,Sacramento,90,100,8.5,,,,,,0.08,0,0,,65,55,,554,,,,,135,,,,,,,17.9,,,,,,,,,,,1,,,,,
USW00023232,6/5/1984,California,Sacramento,60,70,10.29,,,,,,0,0,0,,76,51,,746,,,,,225,,,,,,,23,,,,,,,,,,,1,,,,,
USW00023232,6/6/1984,California,Sacramento,60,70,12.3,,,,,,0.02,0,0,,71,52,,741,,,,,225,,,,,,,25.1,,,,,,,,,,,1,,,,,
USW00023232,6/7/1984,California,Sacramento,0,0,7.38,,,,,,0,0,0,,77,49,,886,,,,,315,,,,,,,14.1,,,,,,,,,,,,,,,,
USW00023232,6/8/1984,California,Sacramento,0,0,7.61,,,,,,0,0,0,,81,52,,888,,,,,315,,,,,,,17,,,,,,,,,,,,,,,,
