STATION,DATE,STATE,COUNTY,ACMH,ACSH,AWND,DAPR,FMTM,MDPR,MDSF,PGTM,PRCP,SNOW,SNWD,TAVG,TMAX,TMIN,TOBS,TSUN,WDF1,WDF2,WDF5,WDFG,WESD,WSF1,WSF2,WSF5,WSFG,WT01,WT02,WT03,WT04,WT05,WT06,WT07,WT08,WT09,WT10,WT11,WT13,WT14,WT15,WT16,WT17,WT18,WT19,WT21,WT22,WV03
USC00470273,4/30/1992,Wisconsin,Dane,,,,,,,,,0,0,0,,74,39,51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USC00470273,5/1/1992,Wisconsin,Dane,,,,,,,,,0,0,0,,70,51,65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USC00470273,5/2/1992,Wisconsin,Dane,,,,,,,,,0,0,0,,87,62,64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USC00470273,5/3/1992,Wisconsin,Dane,,,,,,,,,0,0,0,,71,43,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USC00470273,5/4/1992,Wisconsin,Dane,,,,,,,,,0,0,0,,62,35,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USC00470273,5/5/1992,Wisconsin,Dane,,,,,,,,,0,0,0,,58,34,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USC00470273,5/6/1992,Wisconsin,Dane,,,,,,,,,0,0,0,,57,24,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USC00470273,5/7/1992,Wisconsin,Dane,,,,,,,,,0,0,0,,67,29,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USC00470273,5/8/1992,Wisconsin,Dane,,,,,,,,,0,0,0,,74,34,39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USC00470273,5/9/1992,Wisconsin,Dane,,,,,,,,,0,0,0,,80,36,61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USC00470273,5/10/1992,Wisconsin,Dane,,,,,,,,,0,0,0,,82,42,43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USC00470273,5/11/1992,Wisconsin,Dane,,,,,,,,,0,0,0,,85,43,62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USC00470273,5/12/1992,Wisconsin,Dane,,,,,,,,,0.2,0,0,,83,58,61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USC00470273,5/13/1992,Wisconsin,Dane,,,,,,,,,0,0,0,,74,46,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USC00470273,5/14/1992,Wisconsin,Dane,,,,,,,,,0,0,0,,73,43,46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USC00470273,5/15/1992,Wisconsin,Dane,,,,,,,,,0,0,0,,69,46,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USC00470273,5/16/1992,Wisconsin,Dane,,,,,,,,,0,0,0,,77,47,61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USC00470273,5/17/1992,Wisconsin,Dane,,,,,,,,,0,0,0,,88,59,64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USC00470273,5/18/1992,Wisconsin,Dane,,,,,,,,,0,0,0,,77,47,48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USC00470273,5/19/1992,Wisconsin,Dane,,,,,,,,,0,0,0,,72,37,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USC00470273,5/20/1992,Wisconsin,Dane,,,,,,,,,0,0,0,,82,42,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USC00470273,5/21/1992,Wisconsin,Dane,,,,,,,,,0,0,0,,88,48,55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USC00470273,5/22/1992,Wisconsin,Dane,,,,,,,,,0,0,0,,89,55,67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USC00470273,5/23/1992,Wisconsin,Dane,,,,,,,,,0.37,0,0,,87,53,53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USC00470273,5/24/1992,Wisconsin,Dane,,,,,,,,,0.05,0,0,,57,35,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USC00470273,5/25/1992,Wisconsin,Dane,,,,,,,,,0,0,0,,50,30,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USC00470273,5/26/1992,Wisconsin,Dane,,,,,,,,,0,0,0,,53,40,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USC00470273,5/27/1992,Wisconsin,Dane,,,,,,,,,0,0,0,,59,27,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USC00470273,5/28/1992,Wisconsin,Dane,,,,,,,,,0,0,0,,69,33,41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USC00470273,5/29/1992,Wisconsin,Dane,,,,,,,,,0,0,0,,75,31,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USC00470273,5/30/1992,Wisconsin,Dane,,,,,,,,,0,0,0,,76,37,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USC00470273,5/31/1992,Wisconsin,Dane,,,,,,,,,0,0,0,,78,39,67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USC00470273,6/1/1992,Wisconsin,Dane,,,,,,,,,0,0,0,,84,44,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USC00470273,6/2/1992,Wisconsin,Dane,,,,,,,,,0,0,0,,82,45,52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USC00470273,6/3/1992,Wisconsin,Dane,,,,,,,,,0,0,0,,84,40,48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USC00470273,6/4/1992,Wisconsin,Dane,,,,,,,,,0,0,0,,86,47,52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
